John,Konchar,SG,25,MEM,0.373842593,17.94444444,0.481,0.187,6.9,20.1,10.6,1.7,1.5,9.3,9.9,0.413,0.61,0.551
Obi,Toppin,PF,23,NYK,0.355902778,17.08333333,0.357,0.262,5.9,17.7,10.9,1,2.6,9.6,20.8,0.308,0.655,0.758
Marcus,Smart,PG,27,BOS,0.67370892,32.33802817,0.501,0.249,2,10.5,25.6,2.6,0.7,16.6,18.3,0.331,0.506,0.793
Will,Barton,SG,31,DEN,0.668133803,32.07042254,0.48,0.142,2.2,14.1,17.6,1.2,1.2,11.8,20.8,0.365,0.504,0.803
P.J.,Tucker,PF,36,MIA,0.581279343,27.90140845,0.451,0.143,5.8,16.2,10.6,1.5,0.8,12.7,11.7,0.415,0.54,0.738
Devin,Vassell,SF,21,SAS,0.568368545,27.28169014,0.497,0.13,2.4,14.3,9.7,1.9,1.8,6.7,18.9,0.361,0.492,0.838
Cody,Martin,SF,26,CHO,0.547535211,26.28169014,0.376,0.253,4.6,11.7,12.4,2.3,1.6,11.5,12.1,0.384,0.542,0.701
Mo,Bamba,C,23,ORL,0.535211268,25.69014085,0.455,0.118,8.5,24.6,7.4,1,5.9,10.6,17.2,0.381,0.563,0.781
Isaiah,Stewart,C,20,DET,0.53286385,25.57746479,0.094,0.21,12.8,24.5,6.9,0.6,3.9,13.7,14.6,0.326,0.529,0.718
Gary,Payton II,PG,29,GSW,0.365903756,17.56338028,0.349,0.169,6.5,14.9,7.6,3.8,1.7,9.8,14.3,0.358,0.754,0.603
Nemanja,Bjelica,C,33,GSW,0.335093897,16.08450704,0.436,0.237,6.1,21.5,19.8,1.8,2.2,18.7,17.8,0.362,0.549,0.728
Payton,Pritchard,SG,24,BOS,0.293720657,14.09859155,0.657,0.056,3.5,10.8,20.4,1.2,0.5,9.7,18.6,0.412,0.461,1
Gary,Trent Jr.,SG,23,TOR,0.728571429,34.97142857,0.502,0.188,1.1,7.7,8.8,2.5,0.8,5.8,21.8,0.383,0.445,0.853
RJ,Barrett,SF,21,NYK,0.719345238,34.52857143,0.338,0.34,2.9,15.5,14.9,0.9,0.7,9.9,27.6,0.342,0.442,0.714
Luke,Kennard,SG,25,LAC,0.571130952,27.41428571,0.662,0.121,1.1,11.2,11.2,1.1,0.3,8.2,16.8,0.449,0.449,0.896
Jaden,McDaniels,PF,21,MIN,0.536607143,25.75714286,0.455,0.128,4.4,13.2,6.1,1.4,2.9,11.4,15.3,0.317,0.579,0.803
Chuma,Okeke,PF,23,ORL,0.520535714,24.98571429,0.645,0.113,2.8,18.2,10.1,2.7,2.2,8.6,16.4,0.318,0.48,0.846
Lonnie,Walker IV,SG,23,SAS,0.479761905,23.02857143,0.462,0.194,1.2,10.7,13.4,1.3,1,7.9,23.6,0.314,0.487,0.784
Jaxson,Hayes,C,21,NOP,0.416071429,19.97142857,0.143,0.472,8.9,16.2,4.7,1.2,3.8,10.1,16.4,0.351,0.66,0.766
Raul,Neto,PG,29,WAS,0.408333333,19.6,0.272,0.245,1.1,9.6,22.9,2,0.2,13.9,18.4,0.292,0.526,0.769
Jonathan,Kuminga,SF,19,GSW,0.352678571,16.92857143,0.324,0.413,5.1,16.1,8.4,1.3,1.8,12,22.7,0.336,0.598,0.684
Evan,Mobley,PF,20,CLE,0.703804348,33.7826087,0.111,0.304,6.9,19.8,11.6,1.2,4.4,12.4,20.4,0.25,0.541,0.663
Bojan,Bogdanović,PF,32,UTA,0.643417874,30.88405797,0.504,0.28,3.1,11.8,8.7,0.8,0,10.2,23.7,0.387,0.524,0.858
Al,Horford,C,35,BOS,0.605374396,29.05797101,0.466,0.167,6,22.2,16.4,1.2,4.2,9.6,14.8,0.336,0.582,0.842
Darius,Bazley,PF,21,OKC,0.580917874,27.88405797,0.414,0.262,3.7,19.8,7.7,1.5,3.4,11.1,18.3,0.297,0.511,0.688
Carmelo,Anthony,PF,37,LAL,0.541364734,25.98550725,0.549,0.22,3.7,13.5,5.6,1.3,2.6,6.9,20.4,0.375,0.521,0.83
Amir,Coffey,SG,24,LAC,0.473128019,22.71014493,0.545,0.251,1.8,11.2,11.4,1.2,0.8,8,15.8,0.378,0.542,0.863
Kyle,Anderson,PF,28,MEM,0.448067633,21.50724638,0.232,0.224,4.8,21.6,16.2,2.5,2.7,12.1,16.2,0.33,0.481,0.638
Landry,Shamet,SG,24,PHO,0.433876812,20.82608696,0.689,0.167,1.2,8,9.7,0.9,0.6,7.3,16.8,0.368,0.45,0.84
Bones,Hyland,PG,21,DEN,0.395531401,18.98550725,0.627,0.219,1.2,14.4,21.2,1.5,1.4,12.1,23.8,0.366,0.465,0.856
Taurean,Prince,PF,27,MIN,0.355374396,17.05797101,0.587,0.21,2.3,13.8,8.1,1.9,1.9,11.1,17,0.376,0.565,0.756
Tre,Jones,PG,22,SAS,0.346618357,16.63768116,0.15,0.268,2.6,11.6,27,1.8,0.5,10.8,15.6,0.196,0.542,0.78
Pascal,Siakam,PF,27,TOR,0.789828431,37.91176471,0.181,0.314,5.1,20.1,23,1.6,1.6,11.6,25.8,0.344,0.527,0.749
Darius,Garland,PG,22,CLE,0.744485294,35.73529412,0.387,0.205,1.8,8.2,39.9,1.8,0.3,16.2,27.8,0.383,0.512,0.892
Dejounte,Murray,PG,25,SAS,0.724877451,34.79411765,0.237,0.199,3.5,21.6,40.6,2.8,0.8,11.8,27.3,0.327,0.504,0.794
Devin,Booker,SG,25,PHO,0.718443627,34.48529412,0.336,0.255,2.1,13.2,22.4,1.6,1,9.3,32,0.383,0.508,0.868
